id,genre,name,artist,valence,energy
6KgrFtfas1ATDwuIiTL3wc,afrobeat,Erdi,Ali Farka Touré,0.775,0.703
6HU2JMDi3RrEt02WJJZOio,afrobeat,He Lives In You,Various Artists,0.442,0.43
14fmbvjYLqRZEXz1VZdM2M,afrobeat,We Found Love,Rihanna,0.609,0.74
6MBZHOilZfNn5cVNRYXjVT,afrobeat,Jupa Original,Various Artists,0.859,0.677
3F7o4t1uwmrZwym5iNiGbV,afrobeat,Yangiluma Inkukhu (The Biting Chicken),Ladysmith Black Mambazo,0.739,0.347
3EREjXvpkJSZlbwdMLVpig,afrobeat,Nguva Ye Kufara,Chiwoniso,0.682,0.756
5ghIJDpPoe3CfHMGu71E6T,alt-rock,Smells Like Teen Spirit,Nirvana,0.72,0.912
0jcqJ7xIUuirEbQFlhvOLm,alt-rock,Plowed,Various Artists,0.21,0.908
3SMDdwKyNonQwvCYoiFuBn,alt-rock,Crazy Lady,The Vaselines,0.737,0.817
31eOMXMsw37nf3LkujHu7W,alt-rock,The Museum of Broken Relationships,Veruca Salt,0.744,0.743
1gL9aBoBJI0nfk2WdpaKi3,alt-rock,Antiphon,Midlake,0.461,0.814
5s8zZQ9G7XOoJygkfCHQ2h,alt-rock,Where I'm From,Eels,0.743,0.538
1G8g2LoR09NtrG4y8NQcJL,alt-rock,Ashes to Ashes,Faith No More,0.358,0.866
6mH3sA9TMhgALjjWO0LXW2,alt-rock,1000hp,Godsmack,0.429,0.955
1Wqhdu7qwp3BNsQMremovv,alt-rock,Devil,Ours,0.213,0.567
5ZRgBA12LikIUPgTRoMUrJ,alt-rock,Mantra,Sound City - Real to Reel,0.899,0.664
2TxYbRGmKGbVnSFRWlp1Qx,alt-rock,Skinny Little Bitch,Hole,0.476,0.969
17Wi8MMziNIpKRgXGx6TjP,alt-rock,Loud Like Love,Placebo,0.363,0.932
6lSr3iZTC144PKhvbPFzMp,alt-rock,Blurry,Puddle Of Mudd,0.523,0.938
4kgD89hUKCdmnSlPOksNjK,alt-rock,Me Again,J Mascis,0.256,0.389
3US6iSyLP2uS07gjjU2ZkG,alt-rock,Heaven,The Walkmen,0.535,0.905
6rqkwoZu5oX5hugeyiJCM8,alt-rock,Follow You Down,Gin Blossoms,0.68,0.924
2k4cyy2n2nY2xP2D3OXXZw,alt-rock,The Mighty Sparrow,Ted Leo and the Pharmacists,0.324,0.902
65tH2GPMFCt8JtM2PM3MiX,alt-rock,Morning,Beck,0.261,0.377
1HBZrDjYFOuBcFR0GuxuRV,alt-rock,It's Time To Come Home,The Rentals,0.136,0.662
4Mp74fQNcVuFnP5josRUmy,alt-rock,Sisters,The Raveonettes,0.215,0.792
6P98yCrDAOq32mjR2iCfDI,alt-rock,Slow Slow Fly,The Presidents Of The United States Of America,0.861,0.559
1jgtxPFYSYRiE9fz89bBSN,alt-rock,Frosted Tips,Califone,0.636,0.868
6RDMoA86XmfIyFGWmm9TkJ,alt-rock,Do It Anyway,Ben Folds Five,0.765,0.791
19pQaJUSEtn31fpO6RozaH,alt-rock,A Million Little Pieces,Placebo,0.606,0.858
3EX6JJhvK9eCkFei6vk3RL,alt-rock,It's Horseshit!,Electric Six,0.796,0.935
3gesKgOqQEAdhHXlBIWi6c,alt-rock,Ambulances,Institute,0.313,0.652
19Ov4l8mtvCT1iEUKks4aM,alt-rock,Two-Headed Boy,Neutral Milk Hotel,0.267,0.613
6LvQRDyjrsnmFVjfZPdUy4,alt-rock,I Am Machine,Three Days Grace,0.45,0.96
43ncKp8gVEEKQ0HM9XI8pw,alt-rock,Crazy B*tch,Buckcherry,0.679,0.974
3G0kzHUQGkhgWurrYEOQKd,alt-rock,Yesterday Once More,Various Artists,0.44,0.803
1lL8ttg9HNdyuN0VxD7c75,alt-rock,Photograph,The Verve Pipe,0.316,0.756
7rBMZvgeWnOTHWUh3Pvw51,alt-rock,Chloe Dancer/Crown Of Thorns,Mother Love Bone,0.267,0.362
77EwrXeCpbMMlWHqhdeFxJ,alt-rock,I Will Dare,The Replacements,0.551,0.932
4v1ETu9iDDUZzNzRgM3hcR,alt-rock,Now It's On,Grandaddy,0.375,0.596
4H88C5eMo7CHorvWy2Hr4q,alt-rock,Somebody To Break Your Heart,Robyn Hitchcock,0.791,0.472
51m0PrZokFZNk5b5xptyzC,alt-rock,Cannonball,The Breeders,0.765,0.685
6rARMNQLjwdlBMb9BGrrAZ,alt-rock,Subconscious Life,Self,0.804,0.728
1AuoE6E9GGzncRpGg0Y7vG,alt-rock,It's Your Choice,Brendan Benson,0.746,0.768
7kF1iPJTj3VFJX9XokQ80F,alt-rock,Slither,Velvet Revolver,0.268,0.974
2VSbEXqs6NbNiZSTcHlIDR,alt-rock,My Sacrifice,Creed,0.257,0.88
2lwwrWVKdf3LR9lbbhnr6R,alt-rock,Float On,Modest Mouse,0.553,0.888
3dN6yDtyNu55dqoygX4AQ5,alt-rock,Nearly Lost You,Screaming Trees,0.334,0.968
0Jv0PJz6LZdCygPsFnML3a,alt-rock,Novocaine For The Soul,Eels,0.349,0.765
5mkGfmJGFZpwK9nA5amOhv,alt-rock,Sex & Candy,Marcy Playground,0.63,0.558
72K2qTw5e61sTUKSB4nDOt,alt-rock,Every Morning,J Mascis,0.515,0.684
4R7Qay92W6pX5FGlSOHPl4,alt-rock,American Music,Violent Femmes,0.795,0.704
1ng36571Iyov4HBxUClySn,alt-rock,Pepper,Butthole Surfers,0.671,0.804
3zOvCNuRh0hX0Bua4eWJbs,alt-rock,Low,Cracker,0.444,0.676
0W7AbEauB7cP4pidLclApe,alt-rock,Hunger Strike,Temple Of The Dog,0.298,0.567
3dZPApIwDKTgxoqBCb2aQZ,alt-rock,Do The Panic,Various Artists,0.794,0.608
4StWxcSAFbWQoI290UDUUW,alt-rock,The War,Bob Mould,0.185,0.952
702Gf3Gh3NsC1KbCFrlrpe,alt-rock,The Concept,Teenage Fanclub,0.499,0.702
625QR3rZtbYlpKm2JisGab,alt-rock,Hedonism (Just Because You Feel Good),Skunk Anansie,0.312,0.536
6zeDYmP3ARpURvpK29Q09P,alt-rock,Someday,Sugar Ray,0.938,0.682
1pY4gr59pqvIdJh2RGjeDg,alt-rock,Natural Disasters,Enon,0.736,0.862
5pPlWW8ZfCKRChQYvASHGT,alt-rock,Car,Built To Spill,0.356,0.545
2Mg338eKMZKe3dMvCY1Y77,alt-rock,Drown,Theory of a Deadman,0.385,0.936
0QXSKayRWtfxMKHJxVurkZ,alt-rock,Rebel Beat,The Goo Goo Dolls,0.63,0.879
0NPSMuF3Vbp4SZRkLQW1wk,alt-rock,Gold Day,Sparklehorse,0.284,0.539
0TJiGLT3w6HRsd5SSdEUWZ,alt-rock,Angel In The Snow,Elliott Smith,0.183,0.226
4Az4FAhbPQ8PcT7BtuCfJh,alt-rock,Only Run,Clap Your Hands Say Yeah,0.196,0.84
0eKyHwckh9vQb8ncZ2DXCs,alt-rock,With Arms Wide Open,Creed,0.141,0.539
4qMzPtAZe0C9KWpWIzvZAP,alt-rock,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,0.475,0.72
4L2S9GbwEgwfSbHjTCvNQX,alt-rock,Say Hello 2 Heaven,Temple Of The Dog,0.321,0.647
5kwVVnZ8ZjJanBbGmrbHsb,alt-rock,She Builds Quick Machines,Velvet Revolver,0.673,0.883
